codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;total_entregado_total;total_entregado_parcial;total_pendiente;Total;matched_rows_per_source
20234171;20234171;20234171;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20071181-2;20071181-2;200711812;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20071182-3;20071182-3;200711823;;;;;;;;;0;0;0;0;{'1': [], '2': []}
19955262;19955262;19955262;;;;;;;;;0;0;0;0;{'1': [], '2': []}
19955608;19955608;19955608;;;;;;;;;0;0;0;0;{'1': [], '2': []}
63654;63654;63654;;;;;;;;;0;0;0;0;{'1': [], '2': []}
1981349-1;1981349-1;19813491;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20157433;20157433;20157433;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20194528-01;20194528-01;2019452801;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20031822-4;20031822-4;200318224;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20058363;20058363;20058363;;;;;;;;;0;0;0;0;{'1': [], '2': []}
19967652;19967652;19967652;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20054465-1;20054465-1;200544651;;;;;;;;;0;0;0;0;{'1': [], '2': []}
226679-4;226679-4;2266794;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20014490-1;20014490-1;200144901;;;;;;;;;0;0;0;0;{'1': [], '2': []}
56106-3;56106-3;561063;;;;;;;;;0;0;0;0;{'1': [], '2': []}
44969;44969;44969;;;;;;;;;0;0;0;0;{'1': [], '2': []}
227376;227376;227376;;;;;;;;;0;0;0;0;{'1': [], '2': []}
227365;227365;227365;;;;;;;;;0;0;0;0;{'1': [], '2': []}
33037;33037;33037;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20070206;20070206;20070206;;;;;;;;;0;0;0;0;{'1': [], '2': []}
22899-2;22899-2;228992;;;;;;;;;0;0;0;0;{'1': [], '2': []}
33038;33038;33038;;;;;;;;;0;0;0;0;{'1': [], '2': []}
51612;51612;51612;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20133287;20133287;20133287;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20015207;20015207;20015207;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20015216;20015216;20015216;;;;;;;;;0;0;0;0;{'1': [], '2': []}
30051;30051;30051;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20075633;20075633;20075633;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20040082-6;20040082-6;200400826;;;;;;;;;0;0;0;0;{'1': [], '2': []}
42722;42722;42722;;;;;;;;;0;0;0;0;{'1': [], '2': []}
19974623;19974623;19974623;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20001059;20001059;20001059;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20030709;20030709;20030709;;;;;;;;;0;0;0;0;{'1': [], '2': []}
19943015;19943015;19943015;;;;;;;;;0;0;0;0;{'1': [], '2': []}
19943979;19943979;19943979;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20030795;20030795;20030795;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20027645;20027645;20027645;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20009747;20009747;20009747;;;;;;;;;0;0;0;0;{'1': [], '2': []}
19930427;19930427;19930427;;;;30;;;;;0;30;0;30;{'1': [7722], '2': []}
19960116;19960116;19960116;;;;;;;;;0;0;0;0;{'1': [], '2': []}
19974622;19974622;19974622;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20008603;20008603;20008603;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20027702;20027702;20027702;;;;;;;;;0;0;0;0;{'1': [], '2': []}
19930429-6;19930429-6;199304296;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20001113;20001113;20001113;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20018308-6;20018308-6;200183086;;;1560;720;;450;400;;2010;1120;0;3130;{'1': [12482, 2915, 5315, 1381, 8102, 4584, 11242, 5963, 1902, 1391, 3182, 3923, 3924, 9175, 412, 5822], '2': [160, 2297, 3493, 3847, 4232, 3145, 4969, 4108, 4815, 4469, 185, 1372, 2621]}
20029778;20029778;20029778;;;;;;;;;0;0;0;0;{'1': [], '2': []}
19927154;19927154;19927154;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20062852;20062852;20062852;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20029777;20029777;20029777;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20029760;20029760;20029760;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20006244;20006244;20006244;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20143914;20143914;20143914;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20029758;20029758;20029758;;;;;;;;;0;0;0;0;{'1': [], '2': []}
19908543;19908543;19908543;;;;;;;;;0;0;0;0;{'1': [], '2': []}
19908545;19908545;19908545;;;;;;;;;0;0;0;0;{'1': [], '2': []}
19983582;19983582;19983582;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20051082;20051082;20051082;;;;;;;;;0;0;0;0;{'1': [], '2': []}
19943741-1;19943741-1;199437411;;;660;;;270;;;930;0;0;930;{'1': [5041, 9427, 5044, 9431, 11899], '2': [4569, 6572, 4020, 4495]}
20024899;20024899;20024899;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20035350;20035350;20035350;;;;;;;;;0;0;0;0;{'1': [], '2': []}
19983585;19983585;19983585;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20027951;20027951;20027951;;;;;;;;;0;0;0;0;{'1': [], '2': []}
229538;229538;229538;;;;;;;;;0;0;0;0;{'1': [], '2': []}
48539-1;48539-1;485391;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20061730;20061730;20061730;;;;;;;;;0;0;0;0;{'1': [], '2': []}
47792;47792;47792;;;;;;;;;0;0;0;0;{'1': [], '2': []}
40407;40407;40407;;;;;;;;;0;0;0;0;{'1': [], '2': []}
40284-2;40284-2;402842;;;;;;3;;;3;0;0;3;{'1': [], '2': [1744]}
19955370-4;19955370-4;199553704;;;;;;;;;0;0;0;0;{'1': [], '2': []}
19944041;19944041;19944041;;;;;;;;;0;0;0;0;{'1': [], '2': []}
93689;93689;93689;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20014360-4;20014360-4;200143604;;;;;;;;;0;0;0;0;{'1': [], '2': []}
104739;104739;104739;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20032093;20032093;20032093;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20096037;20096037;20096037;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20014730;20014730;20014730;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20142533;20142533;20142533;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20030710-28;20030710-28;2003071028;;;2151;1410;;618;454;;2769;1864;0;4633;{'1': [4864, 11139, 6788, 3077, 8837, 6535, 9351, 9605, 11525, 4750, 11663, 145, 7315, 10263, 2584, 10270, 7583, 7328, 10018, 5414, 4778, 5418, 686, 4783, 7087, 11000, 11185, 2615, 1083, 7739, 2749, 11201, 5699, 10052, 3143, 7623, 1231, 2000, 5330, 2646, 4311, 5206, 5721, 1754, 2272, 1762, 6754, 2277, 4327, 11368, 1641, 12411, 8940, 3566, 7153, 10994, 9844, 4469, 5239, 2040, 9339], '2': [5659, 2462, 5793, 5544, 42, 3246, 3376, 3251, 5686, 5308, 2502, 72, 2504, 6344, 5713, 97, 4582, 5993, 4467, 4343]}
