codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;total_entregado_total;total_entregado_parcial;total_pendiente;TOTAL;matched_rows_per_source
20090770-1;20090770-1;200907701;;;;;;0;0;0;0;{'1': []}
19931663-2;19931663-2;199316632;;;;;;0;0;0;0;{'1': []}
20048393-1;20048393-1;200483931;;;;;;0;0;0;0;{'1': []}
19998580-1;19998580-1;199985801;;;;;;0;0;0;0;{'1': []}
19988136-1;19988136-1;199881361;;;;;;0;0;0;0;{'1': []}
20066634-1;20066634-1;200666341;;;;;;0;0;0;0;{'1': []}
20093590-2;20093590-2;200935902;;;;;;0;0;0;0;{'1': []}
20026600-2;20026600-2;200266002;;;;;;0;0;0;0;{'1': []}
28704-4;28704-4;287044;;;;;;0;0;0;0;{'1': []}
228320-1;228320-1;2283201;;;;;;0;0;0;0;{'1': []}
29529-2;29529-2;295292;;;;;;0;0;0;0;{'1': []}
20104307-3;20104307-3;201043073;;;;;;0;0;0;0;{'1': []}
20124004-9;20124004-9;201240049;;;;;;0;0;0;0;{'1': []}
