codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;total_entregado_total;total_entregado_parcial;total_pendiente;total;matched_rows_per_source
20001059;20001059;20001059;;;;;;0;0;0;0;{'1': []}
20030709;20030709;20030709;;;;;;0;0;0;0;{'1': []}
19943015;19943015;19943015;;;;;;0;0;0;0;{'1': []}
19943979;19943979;19943979;;;;;;0;0;0;0;{'1': []}
20030795;20030795;20030795;;;;;;0;0;0;0;{'1': []}
20027645;20027645;20027645;;;;;;0;0;0;0;{'1': []}
20009747;20009747;20009747;;;;;;0;0;0;0;{'1': []}
19930427;19930427;19930427;;;;;;0;0;0;0;{'1': []}
19960116;19960116;19960116;;;;;;0;0;0;0;{'1': []}
19974622;19974622;19974622;;;;;;0;0;0;0;{'1': []}
20008603;20008603;20008603;;;;;;0;0;0;0;{'1': []}
20027702;20027702;20027702;;;;;;0;0;0;0;{'1': []}
19930429-6;19930429-6;199304296;;;;;;0;0;0;0;{'1': []}
20001113;20001113;20001113;;;;;;0;0;0;0;{'1': []}
20018308-6;20018308-6;200183086;;;;;;0;0;0;0;{'1': []}
20029778;20029778;20029778;;;;;;0;0;0;0;{'1': []}
19927154;19927154;19927154;;;;;;0;0;0;0;{'1': []}
20062852;20062852;20062852;;;;;;0;0;0;0;{'1': []}
20029777;20029777;20029777;;;;;;0;0;0;0;{'1': []}
20029760;20029760;20029760;;;;;;0;0;0;0;{'1': []}
20006244;20006244;20006244;;;;;;0;0;0;0;{'1': []}
20143914;20143914;20143914;;;;;;0;0;0;0;{'1': []}
20029758;20029758;20029758;;;;;;0;0;0;0;{'1': []}
19908543;19908543;19908543;;;;;;0;0;0;0;{'1': []}
19908545;19908545;19908545;;;;;;0;0;0;0;{'1': []}
19983582;19983582;19983582;;;;;;0;0;0;0;{'1': []}
20051082;20051082;20051082;;;;;;0;0;0;0;{'1': []}
19943741-1;19943741-1;199437411;;;1020;;;1020;0;0;1020;{'1': [64, 4096, 1094, 1833, 2153, 1099, 6155, 1103, 5918, 1041, 3602, 1526, 2206]}
20024899;20024899;20024899;;;;;;0;0;0;0;{'1': []}
20035350;20035350;20035350;;;;;;0;0;0;0;{'1': []}
19983585;19983585;19983585;;;;;;0;0;0;0;{'1': []}
20027951;20027951;20027951;;;;;;0;0;0;0;{'1': []}
229538;229538;229538;;;;;;0;0;0;0;{'1': []}
48539-1;48539-1;485391;;;;;;0;0;0;0;{'1': []}
20061730;20061730;20061730;;;;;;0;0;0;0;{'1': []}
47792;47792;47792;;;;;;0;0;0;0;{'1': []}
40407;40407;40407;;;;;;0;0;0;0;{'1': []}
40284-2;40284-2;402842;;;;;;0;0;0;0;{'1': []}
19955370-4;19955370-4;199553704;;;;;;0;0;0;0;{'1': []}
19944041;19944041;19944041;;;317;91;;317;91;0;408;{'1': [4876, 5780, 1830, 4904, 4145, 4146, 3763, 5556, 6197, 4542, 1855, 6339, 2631, 6222, 6223, 6097, 4564, 4566, 4823, 5851, 2918, 3945, 5103, 5368, 3963, 2687]}
93689;93689;93689;;;;;;0;0;0;0;{'1': []}
20014360-4;20014360-4;200143604;;;;;;0;0;0;0;{'1': []}
104739;104739;104739;;;;;;0;0;0;0;{'1': []}
20032093;20032093;20032093;;;;;;0;0;0;0;{'1': []}
20096037;20096037;20096037;;;;;;0;0;0;0;{'1': []}
20014730;20014730;20014730;;;;;;0;0;0;0;{'1': []}
20142533;20142533;20142533;;;;;;0;0;0;0;{'1': []}
20030710-28;20030710-28;2003071028;;;;;;0;0;0;0;{'1': []}
19943740;19943740;19943740;;;;;;0;0;0;0;{'1': []}
20015775-8;20015775-8;200157758;;;;;;0;0;0;0;{'1': []}
20212115;20212115;20212115;;;;;;0;0;0;0;{'1': []}
57692-1;57692-1;576921;;;;;;0;0;0;0;{'1': []}
2005669-3;2005669-3;20056693;;;;;;0;0;0;0;{'1': []}
200640;200640;200640;;;;;;0;0;0;0;{'1': []}
20218076;20218076;20218076;;;;;;0;0;0;0;{'1': []}
20212115;20212115;20212115;;;;;;0;0;0;0;{'1': []}
1981349;1981349;1981349;;;;;;0;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;0;{'1': []}
20032011-9;20032011-9;200320119;;;17;;;17;0;0;17;{'1': [4361, 5353, 334, 1618, 2068, 4984, 698, 1021]}
NSOC06986-21CO;NSOC06986-21CO;NSOC0698621CO;;;;;;0;0;0;0;{'1': []}
20137157;20137157;20137157;;;;;;0;0;0;0;{'1': []}
19908041-3;19908041-3;199080413;;;;;;0;0;0;0;{'1': []}
