codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;total_entregado_total;total_entregado_parcial;total_pendiente;matched_rows_per_source
AP22559;AP22559;AP22559;;;;;;0;0;0;{'1': []}
AP20921;AP20921;AP20921;;;;;;0;0;0;{'1': []}
AP24131;AP24131;AP24131;;;;;;0;0;0;{'1': []}
AP23646;AP23646;AP23646;;;;;;0;0;0;{'1': []}
AP21024;AP21024;AP21024;;;;;;0;0;0;{'1': []}
AP22284;AP22284;AP22284;;;;;;0;0;0;{'1': []}
AP21027;AP21027;AP21027;;;;;;0;0;0;{'1': []}
AP20967;AP20967;AP20967;;;30;;;30;0;0;{'1': [3431]}
AP21811;AP21811;AP21811;;;;;;0;0;0;{'1': []}
AP23540;AP23540;AP23540;;;540;310;;540;310;0;{'1': [2946, 2467, 4387, 4103, 1902, 1806, 2993, 3899]}
AP21809;AP21809;AP21809;;;;;;0;0;0;{'1': []}
AP23544;AP23544;AP23544;;;140;50;;140;50;0;{'1': [4104, 2994, 4378, 1901]}
AP21810;AP21810;AP21810;;;;;;0;0;0;{'1': []}
AP22362;AP22362;AP22362;;;14;21;;14;21;0;{'1': [574, 1399]}
AP21355;AP21355;AP21355;;;;;;0;0;0;{'1': []}
AP20835;AP20835;AP20835;;;966;;;966;0;0;{'1': [801, 1729, 99, 4777, 1197, 1936, 4498, 2742, 4118, 2969, 4381, 1727]}
AP22302;AP22302;AP22302;;;;;;0;0;0;{'1': []}
AP20513;AP20513;AP20513;;;;;;0;0;0;{'1': []}
AP23084;AP23084;AP23084;;;;;;0;0;0;{'1': []}
AP23848;AP23848;AP23848;;;;;;0;0;0;{'1': []}
AP23850;AP23850;AP23850;;;;;;0;0;0;{'1': []}
AP23851;AP23851;AP23851;;;;;;0;0;0;{'1': []}
AP21619;AP21619;AP21619;;;;;;0;0;0;{'1': []}
AP22767;AP22767;AP22767;;;;;;0;0;0;{'1': []}
AP22291;AP22291;AP22291;;;;;;0;0;0;{'1': [3034, 2963]}
AP21290;AP21290;AP21290;;;;;;0;0;0;{'1': []}
AP21414;AP21414;AP21414;;;;;;0;0;0;{'1': []}
AP22118;AP22118;AP22118;;;;;;0;0;0;{'1': []}
AP21416;AP21416;AP21416;;;;;;0;0;0;{'1': []}
AP21548;AP21548;AP21548;;;;;;0;0;0;{'1': []}
AP23668;AP23668;AP23668;;;;;;0;0;0;{'1': []}
AP21621;AP21621;AP21621;;;67;;;67;0;0;{'1': [2424, 146, 1378]}
AP21443;AP21443;AP21443;;;;;;0;0;0;{'1': []}
AP21956;AP21956;AP21956;;;;30;;0;30;0;{'1': [623]}
AP21444;AP21444;AP21444;;;;;;0;0;0;{'1': []}
AP21445;AP21445;AP21445;;;;;;0;0;0;{'1': []}
AP20664;AP20664;AP20664;;;;;;0;0;0;{'1': []}
AP23664;AP23664;AP23664;;;2;;;2;0;0;{'1': [4728]}
AP22716;AP22716;AP22716;;;;;;0;0;0;{'1': []}
AP23667;AP23667;AP23667;;;;;;0;0;0;{'1': []}
AP22282;AP22282;AP22282;;;;;;0;0;0;{'1': []}
AP24287;AP24287;AP24287;;;;;;0;0;0;{'1': []}
AP24291;AP24291;AP24291;;;;;;0;0;0;{'1': []}
AP20954;AP20954;AP20954;;;;;;0;0;0;{'1': []}
AP24261;AP24261;AP24261;;;;;;0;0;0;{'1': []}
AP24269;AP24269;AP24269;;;;;;0;0;0;{'1': []}
AP21020;AP21020;AP21020;;;;;;0;0;0;{'1': []}
AP20871;AP20871;AP20871;;;;;;0;0;0;{'1': []}
AP21234;AP21234;AP21234;;;;;;0;0;0;{'1': []}
L01XA0231C03;L01XA0231C03;L01XA0231C03;;;;;;0;0;0;{'1': []}
AP22080;AP22080;AP22080;;;;;;0;0;0;{'1': []}
AP22928;AP22928;AP22928;;;;;;0;0;0;{'1': []}
106771;106771;106771;;;;;;0;0;0;{'1': []}
AP23272;AP23272;AP23272;;;;;;0;0;0;{'1': []}
AP21629;AP21629;AP21629;;;;60;;0;60;0;{'1': [700]}
AP22929;AP22929;AP22929;;;;;;0;0;0;{'1': []}
AP20011;AP20011;AP20011;;;;;;0;0;0;{'1': []}
AP23275;AP23275;AP23275;;;;;;0;0;0;{'1': []}
AP20552;AP20552;AP20552;;;;;;0;0;0;{'1': []}
