codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;total_entregado_total;total_entregado_parcial;total_pendiente;matched_rows_per_source
19967084;19967084;19967084;;;;;;0;0;0;{'1': []}
20137724-1;20137724-1;201377241;;;;;;0;0;0;{'1': []}
21545;21545;21545;;;;;;0;0;0;{'1': []}
387808;387808;387808;;;;;;0;0;0;{'1': []}
122719;122719;122719;;;;;;0;0;0;{'1': []}
PENDIENTE;PENDIENTE;PENDIENTE;;;499;91;;499;91;0;{'1': [4865, 643, 4355, 3080, 3592, 4234, 5005, 5133, 5007, 4882, 4890, 4891, 4765, 3614, 2080, 3616, 4000, 4901, 3110, 3880, 4522, 4781, 1327, 1328, 1329, 1841, 2993, 4155, 3133, 3906, 1480, 3147, 1620, 3294, 351, 363, 4971, 4078, 2290, 2931, 3831, 3068, 4477]}
62049;62049;62049;;;12;;;12;0;0;{'1': [1381, 4711, 3212, 2541, 3153, 3761, 1078, 249, 1850, 2811, 62, 3359]}
554173;554173;554173;;;;;;0;0;0;{'1': []}
20678;20678;20678;;;;;;0;0;0;{'1': []}
PENDIENTE;PENDIENTE;PENDIENTE;;;499;91;;499;91;0;{'1': [4865, 643, 4355, 3080, 3592, 4234, 5005, 5133, 5007, 4882, 4890, 4891, 4765, 3614, 2080, 3616, 4000, 4901, 3110, 3880, 4522, 4781, 1327, 1328, 1329, 1841, 2993, 4155, 3133, 3906, 1480, 3147, 1620, 3294, 351, 363, 4971, 4078, 2290, 2931, 3831, 3068, 4477]}
99513;99513;99513;;;;;;0;0;0;{'1': []}
383877;383877;383877;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
AP22704;AP22704;AP22704;;;;;;0;0;0;{'1': []}
65739;65739;65739;;;;;;0;0;0;{'1': []}
150334;150334;150334;;;;;;0;0;0;{'1': []}
PENDIENTE;PENDIENTE;PENDIENTE;;;499;91;;499;91;0;{'1': [4865, 643, 4355, 3080, 3592, 4234, 5005, 5133, 5007, 4882, 4890, 4891, 4765, 3614, 2080, 3616, 4000, 4901, 3110, 3880, 4522, 4781, 1327, 1328, 1329, 1841, 2993, 4155, 3133, 3906, 1480, 3147, 1620, 3294, 351, 363, 4971, 4078, 2290, 2931, 3831, 3068, 4477]}
142398;142398;142398;;;;;;0;0;0;{'1': []}
74081;74081;74081;;;;;;0;0;0;{'1': []}
20212115-1;20212115-1;202121151;;;;;;0;0;0;{'1': []}
110451;110451;110451;;;;;;0;0;0;{'1': []}
20251892;20251892;20251892;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
226679-4;226679-4;2266794;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
19940;19940;19940;;;;;;0;0;0;{'1': []}
19991725;19991725;19991725;;;;;;0;0;0;{'1': []}
17940;17940;17940;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
55204;55204;55204;;;;;;0;0;0;{'1': []}
AP22344;AP22344;AP22344;;;;;;0;0;0;{'1': []}
AP22754;AP22754;AP22754;;;;;;0;0;0;{'1': []}
21675;21675;21675;;;;;;0;0;0;{'1': []}
150402;150402;150402;;;;;;0;0;0;{'1': []}
19999309;19999309;19999309;;;;;;0;0;0;{'1': []}
21706;21706;21706;;;;;;0;0;0;{'1': []}
20076;20076;20076;;;1;;;1;0;0;{'1': [1949]}
19589;19589;19589;;;;;;0;0;0;{'1': []}
45779;45779;45779;;;;;;0;0;0;{'1': []}
45496;45496;45496;;;;;;0;0;0;{'1': []}
20006314;20006314;20006314;;;;;;0;0;0;{'1': []}
19225;19225;19225;;;;;;0;0;0;{'1': []}
99834;99834;99834;;;;;;0;0;0;{'1': []}
85226;85226;85226;;;;;;0;0;0;{'1': []}
124270;124270;124270;;;;;;0;0;0;{'1': []}
20012211-1;20012211-1;200122111;;;;;;0;0;0;{'1': []}
AP21892;AP21892;AP21892;;;;;;0;0;0;{'1': []}
AP20557;AP20557;AP20557;;;;;;0;0;0;{'1': []}
96728;96728;96728;;;;;;0;0;0;{'1': []}
105520;105520;105520;;;;;;0;0;0;{'1': []}
20027374;20027374;20027374;;;;;;0;0;0;{'1': []}
AP24429;AP24429;AP24429;;;;;;0;0;0;{'1': []}
41118;41118;41118;;;;;;0;0;0;{'1': []}
113737;113737;113737;;;;;;0;0;0;{'1': []}
AP22500;AP22500;AP22500;;;;;;0;0;0;{'1': []}
127105;127105;127105;;;;;;0;0;0;{'1': []}
127109;127109;127109;;;;;;0;0;0;{'1': []}
127107;127107;127107;;;;;;0;0;0;{'1': []}
127108;127108;127108;;;;;;0;0;0;{'1': []}
127106;127106;127106;;;;;;0;0;0;{'1': []}
AP20789;AP20789;AP20789;;;;;;0;0;0;{'1': []}
20030398;20030398;20030398;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
20031108-1;20031108-1;200311081;;;;;;0;0;0;{'1': []}
113856;113856;113856;;;;;;0;0;0;{'1': []}
107748;107748;107748;;;270;;;270;0;0;{'1': [980, 3637, 3639]}
109179;109179;109179;;;;;;0;0;0;{'1': []}
55945;55945;55945;;;;;;0;0;0;{'1': []}
AP23605;AP23605;AP23605;;;;;;0;0;0;{'1': []}
20039358;20039358;20039358;;;;;;0;0;0;{'1': []}
AP21545;AP21545;AP21545;;;;;;0;0;0;{'1': []}
19594;19594;19594;;;;;;0;0;0;{'1': []}
AP21536;AP21536;AP21536;;;120;;;120;0;0;{'1': [3810, 2182]}
AP21700;AP21700;AP21700;;;;;;0;0;0;{'1': []}
A02BC0513C01;A02BC0513C01;A02BC0513C01;;;;;;0;0;0;{'1': []}
20048145;20048145;20048145;;;;;;0;0;0;{'1': []}
99525;99525;99525;;;60;;;60;0;0;{'1': [3899, 4836]}
AP23498;AP23498;AP23498;;;;;;0;0;0;{'1': []}
114460;114460;114460;;;;;;0;0;0;{'1': []}
132841;132841;132841;;;;;;0;0;0;{'1': []}
AP20655;AP20655;AP20655;;;;;;0;0;0;{'1': []}
114174;114174;114174;;;;;;0;0;0;{'1': []}
163448;163448;163448;;;30;;;30;0;0;{'1': [774]}
AP22513;AP22513;AP22513;;;;;;0;0;0;{'1': []}
20067748-1;20067748-1;200677481;;;;;;0;0;0;{'1': []}
AP22511;AP22511;AP22511;;;;;;0;0;0;{'1': []}
AP21470;AP21470;AP21470;;;;;;0;0;0;{'1': []}
AP23400;AP23400;AP23400;;;;;;0;0;0;{'1': []}
126443;126443;126443;;;;;;0;0;0;{'1': [4918]}
AP23720;AP23720;AP23720;;;;;;0;0;0;{'1': []}
AP23388;AP23388;AP23388;;;;;;0;0;0;{'1': []}
AP23724;AP23724;AP23724;;;;;;0;0;0;{'1': []}
AP24229;AP24229;AP24229;;;;;;0;0;0;{'1': []}
AP23931;AP23931;AP23931;;;4010;240;;4010;240;0;{'1': [2560, 3074, 4098, 4099, 3081, 3083, 2067, 2074, 2587, 1569, 2112, 3140, 3660, 4176, 3172, 2149, 2154, 2160, 4210, 4212, 4215, 4217, 2682, 2683, 4220, 1666, 2181, 3223, 2229, 1728, 3795, 3285, 1254, 1259, 4334, 2295, 3325, 2304, 1798, 1799, 1804, 1805, 3855, 3857, 2358, 3896, 2875, 3387, 1346, 1349, 3915, 3405, 3411, 4437, 1890, 2407, 3434, 881, 882, 2417, 4474, 2455, 4513, 4002, 4514, 1444, 4515, 4516, 4517, 4015, 1456, 1973, 1465, 2008, 4056, 1500, 1501, 999]}
20082364-1;20082364-1;200823641;;;;;;0;0;0;{'1': []}
AP22982;AP22982;AP22982;;;;;;0;0;0;{'1': []}
AP23829;AP23829;AP23829;;;;;;0;0;0;{'1': []}
AP23190;AP23190;AP23190;;;;;;0;0;0;{'1': []}
125834;125834;125834;;;;;;0;0;0;{'1': []}
AP22703;AP22703;AP22703;;;;;;0;0;0;{'1': []}
20088474-1;20088474-1;200884741;;;;;;0;0;0;{'1': []}
21317;21317;21317;;;;;;0;0;0;{'1': []}
542990;542990;542990;;;;;;0;0;0;{'1': []}
