codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;cantidad_total_5;cantidad_parcial_5;cantidad_pendiente_5;total_entregado_total;total_entregado_parcial;total_pendiente;;matched_rows_per_source
AP22853;AP22853;AP22853;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP22854;AP22854;AP22854;;;;;;;;;;;;55;;;20;;;75;0;0;75;{'1': [], '2': [], '3': [], '4': [10464, 8258, 14403, 12710, 11240, 12713, 13292, 14352, 12921, 13682, 14739, 8149, 14517, 11639, 5369, 14427, 14301, 14526], '5': [7810, 3206, 6926, 5012, 4766, 4767, 4768, 820, 950, 438, 5048, 7737, 7357, 4414, 4803, 4041, 6478, 7384, 5612, 7023]}
AP22856;AP22856;AP22856;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP22858;AP22858;AP22858;;;;;;;;;;;;345;3;;53;;;398;3;0;401;{'1': [], '2': [], '3': [], '4': [10757, 11272, 9739, 9751, 12829, 13347, 10278, 8241, 14386, 8768, 11843, 9806, 14414, 6225, 6226, 6227, 13913, 4712, 13417, 13426, 6272, 6276, 7301, 9879, 13976, 13984, 3746, 8869, 11951, 12983, 6336, 12996, 14026, 3794, 10963, 6365, 12515, 12519, 6380, 13552, 13557, 5367, 9469, 9987, 11531, 7439, 13584, 14102, 7984, 14645, 9015, 14137, 12606, 6470, 11087, 8021, 8032, 6002, 10101, 14204, 11653, 9105, 14737, 9624, 8090, 12700, 11167, 8119, 14791, 13781, 9689, 11227, 11248, 14322, 6132, 14326, 9723, 6653, 11262], '5': [640, 7553, 3723, 2317, 5136, 275, 2712, 409, 4505, 5656, 5882, 4510, 7326, 7457, 420, 37, 1317, 4134, 6012, 6181, 3119, 2354, 5811, 13236, 3381, 7991, 5946, 6202, 6716, 9534, 5696, 7616, 3908, 6986, 3918, 1103, 4560, 2385, 6353, 2392, 2267, 4447, 6883, 6502, 7014, 5096, 5619, 3700, 5110, 5494, 7670, 3834, 4476, 6525, 5502]}
AP22860;AP22860;AP22860;;;;;;;;;;;;8;;;27;1;;35;1;0;36;{'1': [], '2': [], '3': [], '4': [14760, 7422], '5': [12416, 12928, 12931, 2820, 6020, 9222, 1801, 10506, 12686, 399, 1553, 10130, 4244, 2970, 3742, 10793, 9650, 12978, 12980, 1591, 11328, 196, 1604, 2758, 6468, 456, 585, 4936, 12874, 10967, 1501, 3551, 12127, 3939, 3940, 11747, 5990, 10345, 1260, 7148, 880, 500, 3573, 7286, 13556, 1533]}
AP22867;AP22867;AP22867;;;510;;;484;;;2825;;;1255;;;2;;;5076;0;0;5076;{'1': [3720, 3710, 14059, 14967, 10110], '2': [11265, 4332, 10510, 10639, 10482, 10643, 13778, 1467, 10390, 12762, 10363, 12734], '3': [13825, 12813, 14350, 12307, 12821, 12823, 12824, 13336, 11805, 12322, 12843, 12844, 12846, 13359, 12855, 11840, 12865, 6722, 13893, 10825, 11342, 11353, 12889, 11355, 12894, 12896, 10852, 13925, 12913, 12920, 9848, 10874, 10875, 13944, 11901, 13438, 11911, 12946, 10908, 10912, 11945, 12987, 13501, 13008, 13009, 13020, 3805, 13533, 13037, 14574, 13040, 12543, 13055, 4867, 13059, 12549, 11015, 13575, 14088, 13068, 12558, 12567, 12570, 13087, 13090, 12579, 13104, 13109, 13111, 13112, 13114, 11080, 13129, 13643, 11085, 12621, 13135, 11600, 13147, 13151, 13152, 12647, 12650, 12655, 14710, 12664, 12665, 12666, 12167, 12680, 13710, 12689, 13713, 13715, 406, 12695, 3480, 12697, 13207, 13219, 12200, 12720, 12723, 12724, 12213, 14772, 13249, 12739, 11204, 12749, 14288, 12754, 13781, 13271, 4572, 12766, 4064, 12261, 12773, 12774, 13288, 14328, 13310], '4': [514, 3075, 2564, 3089, 3100, 3118, 2100, 59, 2627, 5190, 2121, 2127, 80, 2639, 2641, 5214, 2657, 5220, 102, 3174, 2667, 3182, 111, 4210, 3187, 2679, 2683, 5756, 2690, 648, 8341, 2715, 2724, 680, 3240, 6320, 4786, 5831, 3281, 215, 2776, 3293, 1249, 3297, 2789, 3301, 3303, 2281, 2794, 3305, 3306, 3311, 1288, 3353, 3354, 2847, 3368, 5933, 3376, 3379, 3390, 3391, 3394, 3398, 3405, 2894, 1373, 3423, 3427, 365, 2928, 2945, 3464, 922, 2970, 3483, 3494, 2985, 2987, 5575, 5579, 3020, 3021, 974, 2512, 1503, 3049, 1515, 3063], '5': [7568, 5978, 12059]}
AP22870;AP22870;AP22870;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP22879;AP22879;AP22879;;;;;;56;;;20;;;68;;;;;;144;0;0;144;{'1': [], '2': [8449], '3': [14515], '4': [5698, 3046, 3116, 5886, 3965, 5438], '5': []}
AP22886;AP22886;AP22886;;;1800;;;450;;;90;;;;;;;;;2340;0;0;2340;{'1': [5952, 8293, 3147, 715, 878, 4207, 6032, 4209, 5458, 13294, 14643, 405, 10325, 3293, 11199], '2': [4167, 6503, 4713, 12364, 2899, 3189, 1814, 8277], '3': [10578, 222, 10607], '4': [], '5': []}
AP22888;AP22888;AP22888;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
